,precision,recall,f1-score,support
toxic,0.8830888697152718,0.6698298429319371,0.7618161518422032,3056.0
severe_toxic,0.6470588235294118,0.17133956386292834,0.270935960591133,321.0
obscene,0.8663967611336032,0.7486880466472303,0.8032530497341257,1715.0
threat,0.07692307692307693,0.013513513513513514,0.022988505747126436,74.0
insult,0.769814502529511,0.5656753407682775,0.6521428571428571,1614.0
identity_hate,0.3888888888888889,0.047619047619047616,0.08484848484848485,294.0
micro avg,0.842578125,0.6098388464800678,0.7075610956207972,7074.0
macro avg,0.6053618204532939,0.3694442258904891,0.4326641683176551,7074.0
weighted avg,0.8135145832139118,0.6098388464800678,0.6887001355771651,7074.0
samples avg,0.059474123975142304,0.05402161992793358,0.0541874938819949,7074.0
