,precision,recall,f1-score,support
toxic,0.8316176470588236,0.7401832460732984,0.7832409972299169,3056.0
severe_toxic,0.75,0.018691588785046728,0.0364741641337386,321.0
obscene,0.8614130434782609,0.7393586005830903,0.7957326639472858,1715.0
threat,0.0,0.0,0.0,74.0
insult,0.7461969575660529,0.5774473358116481,0.6510653161019909,1614.0
identity_hate,0.0,0.0,0.0,294.0
micro avg,0.8199669664158561,0.6316087079445858,0.7135670366525593,7074.0
macro avg,0.5315379413505229,0.3459467952088473,0.3777521902354887,7074.0
weighted avg,0.7723860317343217,0.6316087079445858,0.6814805814362122,7074.0
samples avg,0.06583894720350932,0.057783696276567965,0.058870636039678806,7074.0
